Iteration,Cost,Effectiveness,t_bradyc,t_discountedlifeyear,t_dl_se,t_hyperk,t_hypot,t_lifeyear,t_numberofdeath,t_numberofhfh,t_reimp,t_se,t_walk,profile
375,32.63,0.006317308,0,0.019172607,0,0,0,0.019178082,1,0,0,0,1,base
1144,32.63,0.006317308,0,0.019172607,0,0,0,0.019178082,1,0,0,0,1,base
1,32.63,0.018948318,0,0.038334267,0,0,0,0.038356164,1,0,0,0,1,base
527,32.63,0.018948318,0,0.038334267,0,0,0,0.038356164,1,0,0,0,1,base
1059,32.63,0.018948318,0,0.038334267,0,0,0,0.038356164,1,0,0,0,1,base
1231,32.63,0.018948318,0,0.038334267,0,0,0,0.038356164,1,0,0,0,1,base
1268,32.63,0.018948318,0,0.038334267,0,0,0,0.038356164,1,0,0,0,1,base
270,32.63,0.031575726,0,0.057484984,0,0,0,0.057534247,1,0,0,0,1,base
369,32.63,0.031575726,0,0.057484984,0,0,0,0.057534247,1,0,0,0,1,base
381,32.63,0.031575726,0,0.057484984,0,0,0,0.057534247,1,0,0,0,1,base
498,32.63,0.031575726,0,0.057484984,0,0,0,0.057534247,1,0,0,0,1,base
569,32.63,0.031575726,0,0.057484984,0,0,0,0.057534247,1,0,0,0,1,base
585,32.63,0.031575726,0,0.057484984,0,0,0,0.057534247,1,0,0,0,1,base
862,32.63,0.031575726,0,0.057484984,0,0,0,0.057534247,1,0,0,0,1,base
883,32.63,0.031575726,0,0.057484984,0,0,0,0.057534247,1,0,0,0,1,base
1022,32.63,0.031575726,0,0.057484984,0,0,0,0.057534247,1,0,0,0,1,base
267,32.63,0.04419953,0,0.076624763,0,0,0,0.076712329,1,0,0,0,1,base
690,32.63,0.04419953,0,0.076624763,0,0,0,0.076712329,1,0,0,0,1,base
1275,32.63,0.04419953,0,0.076624763,0,0,0,0.076712329,1,0,0,0,1,base
17,32.63,0.056819733,0,0.095753608,0,0,0,0.095890411,1,0,0,0,1,base
356,32.63,0.056819733,0,0.095753608,0,0,0,0.095890411,1,0,0,0,1,base
519,32.63,0.056819733,0,0.095753608,0,0,0,0.095890411,1,0,0,0,1,base
763,14210.4388,0.054783597,0,0.095753608,0,0,0,0.095890411,1,1,0,0,1,base
870,32.63,0.056819733,0,0.095753608,0,0,0,0.095890411,1,0,0,0,1,base
39,32.63,0.069436336,0,0.114871525,0,0,0,0.115068493,1,0,0,0,1,base
543,32.63,0.069436336,0,0.114871525,0,0,0,0.115068493,1,0,0,0,1,base
573,32.63,0.069436336,0,0.114871525,0,0,0,0.115068493,1,0,0,0,1,base
587,32.63,0.069436336,0,0.114871525,0,0,0,0.115068493,1,0,0,0,1,base
670,32.63,0.069436336,0,0.114871525,0,0,0,0.115068493,1,0,0,0,1,base
1039,32.63,0.069436336,0,0.114871525,0,0,0,0.115068493,1,0,0,0,1,base
