Profile,t_lifeyear,t_numberofdeath
Base,0.038356164,1
Base,7.920547945,1
Base,2.339726027,1
Base,1.726027397,1
Base,1.112328767,1
Base,11.43013699,1
Base,5.849315068,1
Base,5.005479452,1
Base,17.14520548,1
Base,1.668493151,1
Base,1.764383562,1
Base,4.065753425,1
Base,9.62739726,1
Base,9.378082192,1
Base,11.81369863,1
Base,8.208219178,1
Base,1.304109589,1
Base,0.191780822,1
Base,10.64383562,1
Base,0.498630137,1
Base,12.42739726,1
Base,13.52054795,1
Base,8.534246575,1
Base,8.687671233,1
Base,18.81369863,1
Base,2.761643836,1
Base,15.91780822,1
Base,1.035616438,1
Base,7.978082192,1
Base,9.704109589,1
Base,13.04109589,1
Base,6.271232877,1
Base,0.268493151,1
Base,18.18082192,1
Base,2.18630137,1
Base,9.454794521,1
Base,5.484931507,1
Base,16.16712329,1
Base,11.2,1
Base,9.934246575,1
Base,1.457534247,1
Base,2.147945205,1
Base,12.2739726,1
Base,0.326027397,1
Base,12.67671233,1
Base,1.898630137,1
Base,6.367123288,1
Base,6.731506849,1
Base,0.767123288,1
Base,2.18630137,1
Base,6.002739726,1
Base,6.789041096,1
Base,1.975342466,1
Base,2.742465753,1
Base,3.701369863,1
Base,2.128767123,1
Base,16.45479452,1
Base,11.21917808,1
Base,11.54520548,1
Base,12.02465753,1
Base,2.339726027,1
Base,7.690410959,1
Base,10.93150685,1
Base,2.646575342,1
Base,7.863013699,1
Base,3.701369863,1
Base,1.016438356,1
Base,2.953424658,1
Base,6.520547945,1
Base,15.26575342,1
Base,9.723287671,1
Base,7.632876712,1
Base,12.3890411,1
Base,1.917808219,1
Base,3.317808219,1
Base,11.39178082,1
Base,0.556164384,1
Base,33.33150685,1
Base,5.619178082,1
Base,2.723287671,1
Base,5.657534247,1
Base,0.536986301,1
Base,17.81643836,1
Base,0.690410959,1
Base,16.09041096,1
Base,1.035616438,1
Base,7.824657534,1
Base,11.33424658,1
Base,23.95342466,1
Base,7.287671233,1
Base,8.534246575,1
Base,8.898630137,1
Base,12.63835616,1
Base,3.221917808,1
Base,0.153424658,1
