Profile,t_lifeweek,t_numberofdeath
Base,2,1
Base,14,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,51,1
Base,52,0
Base,52,0
Base,5,1
Base,10,1
Base,52,0
Base,26,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,28,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,14,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,17,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,40,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,48,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,29,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,28,1
Base,52,0
Base,36,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,8,1
Base,34,1
Base,52,0
Base,52,0
Base,32,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,43,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,26,1
Base,52,0
Base,52,0
Base,52,0
Base,33,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,36,1
Base,42,1
Base,37,1
Base,52,0
Base,52,0
Base,52,0
Base,9,1
Base,52,0
Base,52,0
Base,52,0
Base,52,1
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
Base,52,0
